Date,Time (utc),Region,Magnitude,Depth (km),Latitude,Longitude,Mode,Map
13/06/2024,15:35:18,Banda Sea,4.9,169,7.29 S,127.67 E,A,-
13/06/2024,13:48:59,Alaska Peninsula,5.2,16,58.01 N,155.36 W,A,-
13/06/2024,13:08:10,Afghanistan-Tajikistan Border Region,3.7,180,37.80 N,69.97 E,M,-
13/06/2024,11:38:12,Southern Iran,4.6,16,28.38 N,52.93 E,A,-
13/06/2024,10:23:08,South of Mariana Islands,5.0,10,13.02 N,143.96 E,A,-
13/06/2024,05:29:58,Off Eastcoast of Kamchatka,5.2,10,55.54 N,163.76 E,A,-
12/06/2024,19:19:31,Turkiye,4.8,147,37.23 N,27.14 E,A,-
12/06/2024,19:11:58,"Hindu Kush Region, Afghanistan",3.3,205,36.58 N,70.56 E,M,-
12/06/2024,17:01:27,"Talaud Islands, Indonesia",5.8,94,4.46 N,126.37 E,A,-
12/06/2024,16:31:44,Kashmir India Border Region,2.7,27,33.20 N,76.18 E,M,-
12/06/2024,14:41:17,"Hindu Kush Region, Afghanistan",3.4,115,35.67 N,70.50 E,M,-
12/06/2024,14:05:11,65 Km NW of Quetta,3.1,29,30.45 N,66.38 E,M,-
12/06/2024,11:35:04,"Hindu Kush Region, Afghanistan",3.6,114,36.79 N,70.72 E,M,-
12/06/2024,05:35:30,Hokkaido japan Regon,4.3,79,41.96 N,143.03 E,A,-
12/06/2024,03:48:22,"Qinghai, China",4.8,35,34.00 N,97.19 E,A,-
12/06/2024,03:10:49,Afghanistan-Tajikistan Border Region,3.7,95,36.33 N,71.27 E,M,-
12/06/2024,02:26:05,Northern East Pacific Rise,5.3,61,5.56 N,103.27 W,A,-
12/06/2024,02:00:39,Tajikistan,3.5,118,37.90 N,72.56 E,M,-
11/06/2024,23:06:21,"Hindu Kush Region, Afghanistan",4.4,113,36.09 N,70.32 E,M,-
11/06/2024,22:31:15,Afghanistan-Tajikstan Border Region,3.4,109,36.70 N,71.14 E,M,-
11/06/2024,22:01:57,Tajikistan-Xinjiang Border Region,3.2,154,37.11 N,74.60 E,M,-
11/06/2024,11:38:17,"New Britian Region, Papua New Guinea",5.6,108,5.26 S,151.34 E,A,-
11/06/2024,11:09:32,"New Britian Region, Papua New Guinea",5.6,117,5.29 S,151.23 E,A,-
11/06/2024,06:58:37,Sulu Sea,5.1,30,9.48 N,119.78 E,A,-
11/06/2024,06:27:23,Tajikistan,4.3,104,39.60 N,71.36 E,M,-
11/06/2024,05:38:58,Tajikistan,3.4,111,37.17 N,72.03 E,M,-
11/06/2024,04:51:48,Fiji Islands Region,4.9,591,21.92 S,179.35 W,A,-
11/06/2024,04:13:33,Tajikistan,4.7,102,38.65 N,68.82 E,M,-
10/06/2024,20:45:35,"Hindu Kush Region, Afghanistan",4.4,179,36.50 N,70.77 E,A,-
10/06/2024,17:59:38,Tajikistan,3.2,136,38.25 N,72.80 E,M,-
10/06/2024,10:10:48,"Nicobar Islands, India Region",4.9,14,8.96 N,93.13 E,A,-
10/06/2024,09:40:20,Tajikistan-Xinjiang Border Region,3.7,122,38.63 N,73.35 E,M,-
10/06/2024,07:31:31,Afghanistan-Tajikistan Border Region,3.8,133,36.45 N,72.85 E,M,-
10/06/2024,07:26:24,"Hindu Kush Region, Afghanistan",3.6,228,36.37 N,70.41 E,M,-
10/06/2024,03:56:12,"Southwestern Ryukyu Islands, Japan",4.9,15,23.76 N,123.24 E,A,-
10/06/2024,03:49:26,Santa Cruz Islands,5.5,129,12.58 S,167.42 E,A,-
10/06/2024,03:15:01,Afghanistan-Tajikistan Border Region,4.3,89,37.97 N,68.76 E,M,-
09/06/2024,17:25:04,"Southeast of Honshu, Japan",4.5,380,32.66 N,137.43 E,A,-
09/06/2024,16:38:38,"Southern Xinjiang, China",4.6,150,37.72 N,76.52 E,A,-
09/06/2024,16:28:43,Solomon Islands,5.6,171,5.50 S,154.05 E,A,-
09/06/2024,08:23:07,Tajikistan,3.7,108,37.30 N,72.09 E,M,-
09/06/2024,05:46:04,"Hindu Kush Region, Afghanistan",4.0,150,36.48 N,70.73 E,M,-
09/06/2024,04:57:57,"Hindu Kush Region, Afghanistan",4.5,111,36.30 N,69.97 E,M,-
09/06/2024,04:46:15,"Hindu Kush Region, Afghanistan",3.8,200,36.45 N,70.59 E,M,-
09/06/2024,01:04:46,"Talaud Islands, Indonesia",5.2,100,4.92 N,126.14 E,A,-
08/06/2024,22:21:50,Southeastern Afghanistan,3.8,195,34.52 N,69.37 E,M,-
08/06/2024,20:00:09,Fiji Island Region,5.2,565,20.44 S,178.30 W,A,-
08/06/2024,18:16:53,Northern India,3.8,53,24.77 N,73.73 E,A,-
08/06/2024,17:33:17,Southern Iran,4.7,10,29.63 N,51.63 E,A,-
08/06/2024,11:47:43,77 Km West of Zhob,4.2,90,31.30 N,68.65 E,M,-
08/06/2024,10:34:28,Central Alaska,4.8,1,63.32 N,151.01 W,A,-
08/06/2024,10:11:24,Afghanistan-Tajikstan Border Region,4.5,188,36.52 N,71.06 E,M,-
08/06/2024,09:22:47,Northern Chile,4.9,93,19.50 S,69.41 W,A,-
08/06/2024,08:19:42,Tajikistan-Xinjiang Border Region,3.2,250,38.49 N,74.43 E,M,-
08/06/2024,07:48:36,Kashmir India Border Region,3.7,219,32.31 N,75.77 E,M,-
08/06/2024,01:11:30,Afghanistan-Tajikistan Border Region,3.5,56,36.04 N,71.62 E,M,-
07/06/2024,22:59:08,"Hindu Kush Region, Afghanistan",3.6,132,36.28 N,70.06 E,M,-
07/06/2024,19:24:25,Tonga Islands,5.5,10,17.78 S,174.82 W,A,-
07/06/2024,16:31:10,"West Papua, Indonesia",5.3,87,3.09 S,139.28 E,A,-
07/06/2024,06:54:27,"Eastern New Guinea Reg., P.N.G.",4.7,47,6.67 S,147.29 E,A,-
07/06/2024,05:55:30,New Britain Region,5.2,78,6.51 S,149.65 E,A,-
07/06/2024,02:38:24,27 Km Southeast of Chitral,2.7,17,35.78 N,72.08 E,M,-
07/06/2024,00:20:38,Tajikistan,3.4,120,37.49 N,72.49 E,M,-
06/06/2024,18:57:40,Flores Sea,5.3,533,7.26 S,121.04 E,A,-
06/06/2024,17:37:48,Near Coast of Northern Chile,5.1,28,22.44 S,70.23 W,A,-
06/06/2024,13:15:40,"Sumbawa Region, Indonesia",4.9,13,9.22 S,116.82 E,A,-
06/06/2024,11:07:53,Sea of Okhotsk,5.8,609,50.20 N,147.69 E,A,-
06/06/2024,09:17:33,Tajikistan-Xinjiang Border Region,3.4,80,38.49 N,74.28 E,M,-
06/06/2024,02:40:06,"Bonin Islands, Japan",4.7,479,26.28 N,140.32 E,A,-
06/06/2024,02:12:09,"Ryukyu Islands, Japan",5.2,10,28.61 N,129.49 E,A,-
06/06/2024,01:00:20,Solomon Islands,5.1,417,5.01 S,154.23 E,A,-
06/06/2024,00:03:23,"Near East Coast of Honshu, Japan",4.9,10,35.62 N,140.57 E,A,-
05/06/2024,18:53:17,Afghanistan-Tajikstan Border Region,4.4,120,38.30 N,71.46 E,M,-
05/06/2024,14:25:51,27 Km East of Chilas,3.7,35,35.38 N,74.39 E,M,-
05/06/2024,14:19:45,"North Island, New Zealand",5.2,189,38.36 S,175.80 E,A,-
05/06/2024,13:52:32,Tajikistan,3.3,215,37.35 N,72.59 E,M,-
05/06/2024,12:05:06,Xizang,4.0,112,34.16 N,86.04 E,M,-
05/06/2024,11:58:44,Calif- Baja Calif. Border Region,4.7,10,32.53 N,115.26 N,A,-
05/06/2024,11:16:15,"Northern Sumatra, Indonesia",5.6,70,0.52 N,98.71 E,A,-
05/06/2024,10:39:18,South Sandwich Islands Region,5.4,20,59.68 S,29.53 W,A,-
05/06/2024,08:42:24,Angola,5.4,12,13.91 S,14.19 E,A,-
05/06/2024,06:30:21,"Sumbava Region, Indonesia",4.0,218,8.01 S,117.92 E,A,-
05/06/2024,06:19:50,"Southern Sumatra, Indonesia",4.7,62,3.45 S,100.86 E,A,-
05/06/2024,06:12:55,"Hindu Kush Region, Afghanistan",3.2,80,36.28 N,70.63 E,M,-
05/06/2024,06:00:47,Chile- Argentina Border Region,5.2,112,38.93 S,71.57 W,A,-
05/06/2024,06:00:41,Afghanistan-Tajikistan Border Region,3.1,182,36.55 N,71.23 E,M,-
05/06/2024,02:20:27,"Southern Sumatra, Indonesia",5.7,12,3.66 S,100.61 E,A,-
04/06/2024,22:50:17,"Hindu Kush Region, Afghanistan",4.6,155,36.70 N,69.23 E,A,-
04/06/2024,22:08:39,"Hindu Kush Region, Afghanistan",4.4,163,36.52 N,70.38 E,A,-
04/06/2024,17:26:45,Southeast of loyalty Islands,5.8,67,21.90 N,170.70 E,A,-
04/06/2024,17:00:58,"Southern Xinjiang, China",4.4,135,36.77 N,77.46 E,A,-
04/06/2024,10:59:08,Afghanistan-Tajikistan Border Region,3.8,76,36.05 N,71.53 E,M,-
04/06/2024,10:00:02,Fiji Island Region,5.2,584,17.89 S,178.54 W,A,-
04/06/2024,08:39:46,Afghanistan-Tajikistan Border Region,3.6,102,37.01 N,71.65 E,M,-
04/06/2024,06:15:13,Afghanistan-Tajikistan Border Region,3.7,141,36.96 N,71.63 E,M,-
03/06/2024,22:03:44,Northwestern Caucasus,4.8,10,42.58 N,43.59 E,A,-
03/06/2024,18:54:08,"Xizang, China",4.4,15,34.23 N,86.55 E,A,-
03/06/2024,18:52:18,Tonga Islands,5.3,13,18.06 S,173.28 W,A,-
03/06/2024,18:43:20,"Hindu Kush Region, Afghanistan",3.6,216,36.53 N,70.14 E,M,-
03/06/2024,16:45:57,Kashmir-Xinjiang Border Region,4.7,142,36.77 N,76.63 E,M,-
03/06/2024,13:35:50,15 Km Northeast of Karachi,3.2,22,25.17 N,66.90 E,M,-
03/06/2024,07:35:31,Southeast of loyalty island,5.3,91,22.52 S,171.65 E,A,-
03/06/2024,06:41:54,Northern Mid-Atlantic Ridge,5.4,14,30.29 N,43.42 W,A,-
03/06/2024,05:46:50,"Palawan, Philippines",4.9,35,11.51 N,121.03 E,A,-
03/06/2024,03:48:27,Afghanistan-Tajikstan Border Region,4.5,85,38.52 N,70.40 E,A,-
02/06/2024,21:43:36,"West Papua, Indonesia",5.1,12,2.41 S,138.84 E,A,-
02/06/2024,21:31:40,"Near West Coast of Honshu, Japan",5.8,60,37.43 N,137.40 E,A,-
02/06/2024,18:45:40,Solomon Islands,5.2,139,9.99 S,156.69 E,A,-
02/06/2024,14:02:43,"Northern Yukon Territory, Canada",5.3,14,66.04 N,135.08 W,A,-
02/06/2024,09:22:05,Northern Molucca Sea,4.8,249,2.05 N,127.91 E,A,-
02/06/2024,08:44:08,Myanmar,5.0,98,22.86 N,94.58 E,A,-
02/06/2024,08:23:11,Afghanistan-Tajikstan Border Region,4.9,121,37.62 N,72.24 E,A,-
02/06/2024,07:59:56,Northern and Central Iran,4.8,15,36.59 N,55.26 E,A,-
02/06/2024,03:41:08,Kermadec Island Region,5.2,40,29.45 S,126.64 W,A,-
01/06/2024,21:52:32,Eastern New Guinea Region P.N.G,5.0,65,6.15 S,147.33 E,A,-
01/06/2024,14:27:35,Southeastern Afghanistan,3.4,40,34.67 N,70.41 E,M,-
01/06/2024,14:13:01,"Halmahera, Indonesia",5.4,15,2.52 N,128.32 E,A,-
01/06/2024,12:57:00,"Southern Xinjiang, China",3.7,60,37.18 N,76.84 E,M,-
01/06/2024,11:07:29,Afghanistan-Tajikstan Border Region,3.5,224,36.71 N,71.20 E,M,-
01/06/2024,10:07:32,Tajikistan-Xinjiang Border Region,3.8,85,38.46 N,74.01 E,A,-
01/06/2024,07:12:41,Timor Region,4.6,123,8.95 S,124.19 E,A,-
01/06/2024,02:37:37,"Ryukyu Islands, Japan",5.2,14,29.58 N,130.71 E,A,-
01/06/2024,01:07:28,Off Eastcoast of Kamchatka,4.8,12,54.86 N,163.54 E,A,-
01/06/2024,00:46:37,"Xizang,China",5.6,12,34.22 N,86.23 E,A,-
31/05/2024,23:57:50,17 km Southeast of Mianwali,3.3,15,32.48 N,71.73 E,M,-
31/05/2024,23:11:39,Kermadec Island Region,5.2,35,29.80 S,177.38 W,A,-
31/05/2024,22:14:17,Tajikistan,3.9,55,38.08 N,69.11 E,A,-
31/05/2024,17:10:59,Taiwan,5.3,12,24.11 N,121.69 E,A,-
31/05/2024,15:54:43,Kermadec Islands Region,6.0,35,29.48 S,176.90 W,A,-
31/05/2024,15:46:11,Prince Edward Islands Region,5.8,11,43.36 S,41.53 E,A,-
31/05/2024,12:11:08,Phillippine Islands Region,5.0,10,19.24 N,122.04 E,A,-
31/05/2024,09:52:40,Afghanistan-Tajikstan Border Region,3.8,80,37.35 N,69.62 E,M,-
31/05/2024,08:47:20,Solomon Islands,5.4,125,6.72 S,155.82 E,A,-
31/05/2024,08:35:13,South Sandwich Islands Region,5.8,136,59.60 S,26.48 W,A,-
31/05/2024,07:44:30,Central Kazahstan,3.8,80,48.11 N,74.28 E,M,-
31/05/2024,04:29:45,Afghanistan-Tajikstan Border Region,4.0,190,36.64 N,71.50 E,A,-
31/05/2024,03:31:29,"Volcano Islands, Japan Region",5.1,14,23.07 N,140.15 E,A,-
31/05/2024,02:43:00,Tajikistan,3.6,125,38.08 N,72.07 E,M,-
30/05/2024,23:49:54,Afghanistan-Tajikstan Border Region,3.8,73,36.28 N,71.75 E,M,-
30/05/2024,22:54:39,"Mindanao, Philippine",4.8,115,5.75 N,126.02 E,A,-
30/05/2024,20:47:57,Afghanistan-Tajikistan Border Region,3.8,103,36.54 N,71.53 E,M,-
30/05/2024,19:26:40,Afghanistan-Tajikistan Border Region,3.8,73,36.55 N,71.54 E,M,-
30/05/2024,17:08:19,"Sualwesi, Indonesia",5.0,60,2.62 S,122.12 E,A,-
30/05/2024,15:58:46,"Southern Xinjiang, China",3.9,210,40.56 N,79.02 E,M,-
30/05/2024,02:04:18,Afghanistan-Tajikistan Border Region,3.8,173,36.71 N,71.11 E,M,-
30/05/2024,01:07:49,Northern and Central Iran,4.4,18,31.30 N,57.34 E,A,-
29/05/2024,23:54:48,Taiwan,4.5,16,24.23 N,121.47 E,A,-
29/05/2024,17:37:26,"Western Caroline Islands, Micronesia",5.3,14,8.35 N,137.45 E,A,-
29/05/2024,17:14:58,"Southeast of Honshu, Japan",5.3,386,32.34 N,137.60 E,A,-
29/05/2024,15:51:27,"Hindu Kush Region, Afghanistan",4.6,191,36.44 N,70.32 E,M,-
29/05/2024,13:13:19,Myanmar-India Border Region,5.5,98,23.50 N,94.69 E,A,-
29/05/2024,07:38:58,Afghanistan-Tajikistan Border Region,3.5,87,36.19 N,71.49 E,M,-
29/05/2024,03:13:25,Afghanistan-Tajikistan Border Region,4.2,76,36.49 N,71.24 E,M,-
29/05/2024,01:56:19,Fiji Island Region,4.9,254,19.57 S,176.33 W,A,-
29/05/2024,01:43:44,kuril Island,5.1,17,48.62 N,155.67 E,A,-
28/05/2024,18:19:56,"Hindu Kush Region, Afghanistan",3.6,114,36.63 N,70.73 E,M,-
28/05/2024,16:36:19,Afghanistan-Tajikstan Border Region,3.7,65,36.04 N,72.15 E,M,-
28/05/2024,13:54:13,South of Fiji Islands,4.9,407,23.13 S,172.22 W,A,-
28/05/2024,11:52:49,Off West Coast of Northern Sumatra,5.8,79,3.15 N,95.82 E,A,-
28/05/2024,07:30:18,Afghanistan-Tajikstan Border Region,3.1,203,36.69 N,71.30 E,M,-
27/05/2024,17:54:36,Northern and Central Iran,5.6,21,33.96 N,57.34 E,A,-
27/05/2024,13:31:26,Southeastern Afghanistan,3.2,80,33.81 N,66.71 E,M,-
27/05/2024,10:37:16,"Sichuan, China",4.6,10,28.52 N,100.44 E,A,-
27/05/2024,08:25:42,"Sichuan, China",4.7,15,28.53 N,100.33 E,A,-
27/05/2024,03:07:15,"Sichuan, China",4.9,35,28.44 N,100.61 E,A,-
27/05/2024,01:51:20,Solomon Islands,5.4,83,7.13 S,155.61 E,A,-
27/05/2024,00:47:31,"Kamachatka Peninsula, Russia",4.8,128,52.30 N,157.80 E,A,-
26/05/2024,23:03:18,Xizang,4.5,94,31.78 N,85.02 E,A,-
26/05/2024,20:47:11,Tonga Islands,6.5,126,19.45 S,174.87 W,A,-
26/05/2024,18:52:54,"Hindu Kush Region, Afghanistan",4.0,177,36.54 N,70.76 E,M,-
26/05/2024,17:54:51,"Southern Xinjiang, China",4.7,113,38.34 N,75.11 E,A,-
26/05/2024,15:54:22,"94 km North of pashawar, K.P.K",2.9,35,34.89 N,71.42 E,M,-
26/05/2024,15:15:13,Dodecanese Islands,4.6,150,36.73 N,26.83 E,A,-
26/05/2024,14:24:05,Northern Chile,5.4,52,24.12 S,69.04 W,A,-
26/05/2024,05:38:34,Afghanistan-Tajikistan Border Region,3.5,157,57.75 N,71.85 E,M,-
26/05/2024,05:05:38,South of Fiji Islands,4.7,592,22.09 S,179.64 W,A,-
25/05/2024,22:59:02,Afghanistan-Tajikistan Border Region,3.0,32,36.30 N,71.67 E,M,-
25/05/2024,22:23:19,Vanuatu Islands,6.4,40,17.18 S,167.94 E,A,-
25/05/2024,18:59:02,Bali Sea,4.6,612,6.97 S,117.23 E,A,-
25/05/2024,15:55:44,"Eastern Honshu, Japan",4.8,107,36.14 N,139.13 E,A,-
25/05/2024,15:07:03,"southeneast of honshu,japan",4.8,49,33.61 N,140.43 E,A,-
25/05/2024,13:49:49,Afghanistan-Tajikstan Border Region,3.5,127,37.44 N,71.88 E,M,-
25/05/2024,13:15:33,Afghanistan-Tajikstan Border Region,3.8,154,36.85 N,71.46 E,M,-
25/05/2024,08:09:00,Near East Coast of Kamachatka,5.1,16,56.35 N,163.19 E,A,-
25/05/2024,04:33:13,Solomon Islands,5.8,118,5.62 S,154.36 E,A,-
25/05/2024,02:20:04,Northern Molucca Sea,5.0,15,2.31 N,126.55 E,A,-
25/05/2024,00:10:22,"Northern Sumatra, Indonesia",4.9,195,3.24 N,97.77 E,A,-
24/05/2024,18:39:31,Afghanistan-Tajikistan Border Region,3.9,197,36.69 N,71.07 E,A,-
24/05/2024,15:51:43,"New Ireland Region, Papua New Guinea",5.3,102,1.90 S,151.53 E,A,-
24/05/2024,15:14:56,Tajikistan,3.6,22,37.55 N,72.73 E,M,-
24/05/2024,13:58:21,"East of Lake Baykal, Russia",5.5,16,57.08 N,117.14 E,A,-
24/05/2024,10:33:45,Southern Iran,3.7,110,26.62 N,58.53 E,M,-
24/05/2024,09:58:51,Central Peru,4.6,16,10.04 S,74.81 W,A,-
24/05/2024,07:16:42,"Unimak Island Region, Alaska",5.1,14,53.59 N,163.20 W,A,-
24/05/2024,06:05:23,Afghanistan-Tajikstan Border Region,4.5,117,37.02 N,71.60 E,A,-
24/05/2024,05:13:56,South of Panama,4.9,47,6.19 N,82.61 W,A,-
24/05/2024,04:58:19,"Hindu Kush Region, Afghanistan",3.6,183,36.46 N,70.84 E,M,-
24/05/2024,02:35:11,Afghanistan-Tajikstan Border Region,3.9,81,36.19 N,71.69 E,M,-
23/05/2024,17:07:33,Southern Iran,4.8,10,27.26 N,53.81 E,A,-
23/05/2024,16:05:59,"Southern Xinjiang, China",4.5,10,42.00 N,82.60 E,A,-
23/05/2024,14:30:14,"Southern Xinjiang, China",5.0,15,41.86 N,82.46 E,A,-
23/05/2024,12:39:46,36 km SE of Chilas,2.5,20,35.55 N,74.25 E,M,-
23/05/2024,11:27:03,Southwest Indian Ridge,5.6,10,37.32 S,47.70 E,A,-
23/05/2024,10:50:07,Carlsberg ridge,5.3,15,5.71 N,61.07 E,A,-
23/05/2024,04:19:03,"Eastern New Guinea Reg., P.N.G.",5.0,110,6.22 S,147.84 E,A,-
22/05/2024,22:33:47,20km Northeast of Skardu.,3.4,107,35.41 N,75.80 E,M,-
22/05/2024,13:19:38,Afghanistan-Tajikstan Border Region,4.8,213,36.44 N,71.10 E,A,-
22/05/2024,05:49:16,"Minhassa Peninsula, Sulawesi",5.3,133,0.12 N,123.68 E,A,-
21/05/2024,14:32:26,"Hindu Kush Region, Afghanistan",3.8,171,36.31 N,70.27 E,M,-
21/05/2024,11:09:54,Pacific- Atlantic Ridge,5.3,14,53.86 S,132.48 W,A,-
21/05/2024,09:50:47,Santa Cruz Islands,5.2,282,12.11 S,167.10 E,A,-
21/05/2024,08:31:57,"Irian Jaya, Indonesia",5.2,13,2.04 S,138.09 E,A,-
21/05/2024,08:21:10,Northern Chile,5.4,98,22.01 S,68.47 W,A,-
21/05/2024,04:28:42,Philippine Islands Region,5.0,13,19.17 N,120.21 E,A,-
21/05/2024,04:26:47,Afghanistan-Tajikistan Border Region,4.0,113,37.29 N,71.77 E,M,-
21/05/2024,03:35:55,Papua New Guinea Region,5.9,15,6.15 S,147.22 E,A,-
21/05/2024,02:43:12,Near Coast of Ecuador,5.2,80,3.65 S,79.56 W,A,-
21/05/2024,01:31:09,"Hindu Kush Region, Afghanistan",4.4,101,35.44 N,68.10 E,M,-
21/05/2024,01:01:53,Eastern Kashmir,3.5,56,35.70 N,75.84 E,M,-
21/05/2024,00:56:40,Kyrgyzstan-Xinjiang Border Region,4.1,365,40.78 N,75.86 E,M,-
