Date,Website_Visitors,Conversion_Rate,Category,Monthly_Spend
2023-03-05,475.0,0.043,Email,1914.57
2023-03-12,538.0,0.038,SEO,3686.8
2023-03-19,556.0,0.013,Content Marketing,3472.51
2023-03-26,410.0,0.013,Paid Ads,2432.65
2023-04-02,556.0,0.049,Social Media,1454.23
2023-04-09,588.0,0.025,Email,3686.29
2023-04-16,542.0,0.025,SEO,3081.23
2023-04-23,434.0,0.043,Content Marketing,4089.27
2023-04-30,440.0,0.048,Paid Ads,3080.65
2023-05-07,551.0,0.049,Social Media,4408.73
2023-05-14,477.0,0.04,Email,3207.63
2023-05-21,523.0,0.025,SEO,3243.75
2023-05-28,547.0,0.013,Content Marketing,4506.61
2023-06-04,467.0,0.041,Paid Ads,2613.93
2023-06-11,542.0,0.032,Social Media,1536.06
2023-06-18,328.0,0.027,Email,1115.13
2023-06-25,489.0,0.046,SEO,4020.55
2023-07-02,471.0,0.014,Content Marketing,3481.24
2023-07-09,461.0,0.03,Paid Ads,3816.32
2023-07-16,583.0,0.01,Social Media,1851.86
2023-07-23,394.0,0.029,Email,1545.49
2023-07-30,512.0,0.012,SEO,1058.18
2023-08-06,495.0,0.015,Content Marketing,2402.35
2023-08-13,587.0,0.015,Paid Ads,3359.67
2023-08-20,461.0,0.036,Social Media,2568.98
2023-08-27,567.0,0.04,Email,2749.9
2023-09-03,475.0,0.033,SEO,4616.63
2023-09-10,458.0,0.048,Content Marketing,2393.02
2023-09-17,489.0,0.025,Paid Ads,3055.96
2023-09-24,512.0,0.021,Social Media,4134.61
2023-10-01,480.0,0.045,Email,2586.17
2023-10-08,517.0,0.019,SEO,3488.35
2023-10-15,469.0,0.049,Content Marketing,4449.45
2023-10-22,515.0,0.01,Paid Ads,4798.08
2023-10-29,543.0,0.049,Social Media,1588.29
2023-11-05,544.0,0.012,Email,4706.35
2023-11-12,423.0,0.046,SEO,2968.47
2023-11-19,638.0,0.031,Content Marketing,2032.98
2023-11-26,424.0,0.05,Paid Ads,2836.54
2023-12-03,498.0,0.013,Social Media,4920.13
2023-12-10,507.0,0.032,Email,2970.47
2023-12-17,499.0,0.049,SEO,2315.01
2023-12-24,478.0,0.031,Content Marketing,3533.6
2023-12-31,527.0,0.035,Paid Ads,1960.58
,,,Social Media,1303.45
,,,Email,1515.52
,,,SEO,1512.18
,,,Content Marketing,1607.61
,,,Paid Ads,1555.31
,,,Social Media,3563.5
,,,Email,1727.52
,,,SEO,2382.67
,,,Content Marketing,4587.15
,,,Paid Ads,2895.85
,,,Social Media,3670.23
,,,Email,1689.28
,,,SEO,1769.16
,,,Content Marketing,1163.47
,,,Paid Ads,1675.74
,,,Social Media,2114.36
,,,Email,1708.04
,,,SEO,1354.81
,,,Content Marketing,1482.54
,,,Paid Ads,2843.12
,,,Social Media,1825.33
,,,Email,2457.08
,,,SEO,3013.67
,,,Content Marketing,3761.58
,,,Paid Ads,1157.25
